age,distance_from_home,education,environment_satisfaction,job_involvement,job_level,job_satisfaction,monthly_income,monthly_rate,num_companies_worked,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,attrition
57,11,4,4,2,3,3,15971,20932,0,12,3,3,1,21,3,1,14,3,13,0
60,6,2,2,3,4,4,1449,3479,4,15,3,3,0,32,3,2,0,0,0,1
20,11,1,1,3,1,1,16107,7523,2,18,3,4,3,39,0,3,39,0,1,0
42,4,5,3,3,4,1,2427,2007,5,21,2,2,2,26,1,2,17,4,1,1
24,17,2,4,1,5,2,3595,18603,8,25,2,2,1,33,1,3,30,13,15,1
64,22,2,2,3,3,4,19660,10916,9,24,3,1,3,22,5,2,19,5,9,1
27,1,2,2,3,4,2,6765,22581,2,19,2,1,2,24,6,4,24,6,10,0
61,12,4,4,1,2,3,3112,15989,8,20,1,2,1,32,3,4,32,11,3,1
61,24,5,2,4,2,2,12500,8917,8,17,4,3,2,40,0,3,9,6,9,1
36,3,1,3,2,2,1,10137,4049,0,11,4,1,0,28,4,1,28,17,2,0
32,16,5,4,4,4,1,15271,5785,1,13,4,3,2,25,3,4,18,15,15,1
38,3,1,4,3,1,2,18410,9657,3,23,1,3,0,27,4,2,27,8,10,1
38,14,4,4,4,5,3,10715,22296,6,20,3,3,1,39,2,1,26,6,11,0
54,17,5,1,1,2,4,4692,10962,1,14,4,3,0,18,1,1,18,13,5,1
45,19,2,3,2,4,1,4049,19123,6,22,2,4,2,30,3,3,30,1,9,1
62,7,5,2,4,1,1,8098,22679,4,19,1,4,0,34,2,1,34,12,12,1
49,26,4,4,3,3,3,16610,22505,9,15,3,1,0,38,4,3,13,6,13,1
58,24,4,4,2,3,2,15403,12209,6,22,1,2,1,14,3,4,5,5,2,0
44,11,4,2,3,5,1,12590,23423,8,16,4,4,0,24,2,4,8,1,2,1
40,16,1,3,4,4,1,11606,26199,8,20,3,2,3,40,3,1,40,5,3,0
27,24,5,2,4,4,3,7669,15642,2,13,4,1,1,29,2,1,26,11,13,1
57,19,2,2,3,2,2,17773,25384,2,13,3,3,2,36,2,2,16,1,14,0
58,5,2,4,2,1,3,16648,26772,6,14,4,2,1,35,4,2,35,16,4,1
23,1,3,1,2,5,3,5616,18893,4,18,3,4,2,11,1,3,3,3,3,0
41,25,4,1,2,1,2,10867,20379,4,18,1,2,2,23,0,1,23,8,10,1
35,24,2,1,4,5,1,10969,3014,4,23,3,4,0,24,2,1,15,13,14,1
27,10,4,1,4,4,4,1252,21485,8,25,3,2,1,16,1,2,16,2,8,1
32,18,2,1,3,4,4,9052,19306,3,10,1,4,2,24,5,3,2,2,2,0
62,10,5,4,3,5,4,10906,11983,5,22,3,3,3,38,0,2,38,15,10,1
60,1,3,1,1,1,3,11242,7427,5,25,1,2,0,36,4,1,36,5,4,1
51,29,4,2,1,3,1,1695,10212,6,14,4,1,0,23,3,3,2,2,2,1
25,13,1,4,1,3,1,11764,19448,1,14,4,2,2,40,1,4,40,12,14,0
52,4,1,2,3,2,1,8865,24395,5,16,4,4,3,34,6,1,34,7,0,0
44,25,2,1,2,2,1,18889,15809,8,17,3,2,0,38,3,2,2,2,2,1
42,12,5,3,1,1,3,12860,20283,2,12,2,1,1,15,3,3,15,6,12,1
20,24,4,1,3,4,4,13705,5543,1,25,2,3,2,32,0,2,19,4,1,0
38,16,3,4,4,1,4,14289,19350,7,10,4,2,3,24,5,4,5,0,5,0
56,19,5,2,2,5,2,5654,24167,0,11,1,3,2,38,1,1,32,12,3,0
49,26,2,3,1,3,1,14218,15619,7,15,3,3,0,33,2,1,26,7,15,1
38,12,5,3,4,2,4,12469,5574,4,20,1,3,3,29,5,2,29,10,9,0
26,6,3,3,2,1,4,18682,2040,8,23,3,4,2,34,0,1,34,6,5,0
18,16,5,2,2,1,1,12442,8981,8,15,1,2,2,31,1,2,17,17,8,1
21,12,4,4,4,5,1,12106,18646,3,20,4,2,2,29,2,2,29,6,1,0
21,25,2,3,1,4,4,16507,15605,0,22,2,1,1,39,6,3,25,15,8,1
43,26,3,2,1,4,2,14383,10145,4,25,1,3,1,14,6,4,14,11,8,1
51,24,2,2,4,3,1,11456,11224,6,14,4,4,1,31,3,1,31,10,0,1
44,10,4,1,4,2,4,12072,3819,8,20,2,4,1,36,4,1,34,8,11,1
32,5,3,2,4,4,2,12899,17358,9,14,2,1,0,39,4,2,11,6,11,1
62,28,3,4,3,4,3,17221,18511,8,18,2,2,2,20,0,4,20,13,10,1
49,29,2,4,2,4,2,12020,20962,8,20,1,2,1,11,5,3,11,3,5,0
58,28,5,3,1,1,1,1215,14812,5,24,1,4,0,35,6,2,0,0,0,1
24,25,5,2,1,4,3,15251,24235,1,16,2,4,1,38,2,4,10,8,5,0
61,25,1,2,4,5,2,7244,18376,4,15,1,1,0,37,2,1,24,4,8,1
61,19,1,1,2,3,4,1179,18138,2,24,4,4,3,27,4,3,8,2,5,0
31,12,3,1,4,4,1,16692,26321,5,20,3,4,1,38,2,3,38,0,12,0
40,8,2,2,2,2,3,8655,21595,4,16,2,1,1,36,1,2,26,17,13,1
64,4,3,2,4,1,4,17760,11085,9,12,3,3,2,28,1,2,28,12,15,1
18,26,2,2,4,5,3,9045,4806,0,22,2,4,1,26,4,3,26,3,1,0
49,7,4,1,2,3,2,19211,4279,9,16,3,2,1,27,3,1,27,17,12,1
58,26,1,1,1,1,4,12418,25460,9,25,2,3,0,38,3,1,38,8,7,1
43,24,3,4,1,5,1,19711,7687,1,12,4,4,2,19,3,3,17,6,0,0
65,23,4,3,3,1,4,14510,14375,4,25,2,3,2,14,4,2,14,14,4,1
26,5,5,3,2,3,2,16249,26310,5,17,4,4,3,26,0,2,15,12,15,1
