Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,No,Travel_Rarely,278,Research & Development,1,4,Marketing,1,1,3,Male,89,3,4,Manager,1,Married,9422,5322,1,Y,No,20,3,4,80,2,15,3,4,8,4,2,4
42,Yes,Travel_Rarely,1156,Research & Development,29,2,Medical,1,2,4,Male,49,4,4,Research Director,4,Divorced,8899,6002,3,Y,Yes,19,3,4,80,2,28,6,2,25,12,3,2
45,Yes,Travel_Rarely,968,Sales,23,2,Medical,1,3,4,Male,45,1,2,Sales Executive,4,Married,4897,26472,3,Y,Yes,13,4,2,80,3,13,2,2,5,0,0,0
41,No,Travel_Rarely,1167,Human Resources,9,3,Human Resources,1,4,4,Male,64,3,1,Human Resources,3,Married,2784,23555,1,Y,No,15,3,2,80,2,12,4,4,6,6,0,2
42,Yes,Travel_Frequently,181,Research & Development,1,5,Marketing,1,5,3,Male,81,3,1,Laboratory Technician,1,Divorced,2703,15556,4,Y,No,22,3,3,80,0,13,1,2,9,5,0,0
33,Yes,Travel_Rarely,822,Human Resources,7,2,Marketing,1,6,1,Female,67,4,5,Manager,2,Divorced,12178,14001,2,Y,Yes,17,4,2,80,0,2,6,4,2,1,0,0
29,No,Travel_Rarely,1374,Sales,1,4,Medical,1,7,4,Female,73,3,3,Sales Executive,3,Divorced,7483,25807,2,Y,Yes,18,3,3,80,1,3,5,4,2,2,0,0
42,No,Travel_Rarely,1060,Research & Development,3,3,Life Sciences,1,8,2,Female,99,4,1,Laboratory Technician,3,Married,2543,6608,2,Y,No,20,3,2,80,2,5,5,3,4,2,0,3
18,No,Non-Travel,405,Research & Development,27,5,Life Sciences,1,9,4,Female,56,3,2,Laboratory Technician,2,Divorced,5865,8966,2,Y,No,15,3,4,80,0,19,3,3,14,0,0,3
43,No,Travel_Rarely,1090,Research & Development,17,3,Medical,1,10,3,Male,91,2,3,Research Scientist,3,Single,7713,2655,2,Y,No,18,4,4,80,1,14,2,3,8,3,1,8
41,Yes,Non-Travel,825,Research & Development,1,4,Marketing,1,11,2,Male,55,2,1,Healthcare Representative,4,Married,1956,19032,1,Y,No,13,3,3,80,2,8,2,1,5,1,0,0
31,Yes,Travel_Frequently,1152,Sales,1,4,Marketing,1,12,2,Male,49,3,1,Sales Representative,4,Divorced,3198,23542,4,Y,Yes,16,4,4,80,1,9,3,4,1,1,0,1
