Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Travel_Rarely,183,Sales,4,5,Other,1,1,4,Female,61,3,2,Sales Representative,3,Married,6094,2807,4,Y,No,20,3,1,80,1,9,4,4,0,0,0,0
29,Yes,Travel_Rarely,1322,Research & Development,4,2,Life Sciences,1,2,4,Male,78,2,1,Healthcare Representative,2,Single,2418,6110,8,Y,No,22,3,3,80,1,5,1,3,3,0,0,1
28,Yes,Travel_Frequently,498,Research & Development,16,2,Medical,1,3,3,Male,40,3,1,Laboratory Technician,3,Single,2342,23952,1,Y,No,14,3,4,80,2,5,3,3,0,0,0,0
39,Yes,Travel_Rarely,370,Research & Development,15,2,Life Sciences,1,4,2,Female,75,3,1,Laboratory Technician,3,Single,2189,2201,2,Y,No,22,3,1,80,0,13,1,4,12,0,0,1
31,No,Travel_Rarely,1366,Research & Development,8,2,Life Sciences,1,5,4,Female,30,3,2,Laboratory Technician,4,Married,4361,19282,2,Y,No,23,3,1,80,0,4,1,3,3,1,1,1
43,No,Travel_Rarely,1150,Research & Development,12,5,Marketing,1,6,3,Male,31,4,4,Manufacturing Director,4,Married,9698,25448,8,Y,No,17,3,3,80,2,15,3,3,10,1,0,5
37,No,Travel_Rarely,296,Research & Development,2,3,Marketing,1,7,1,Male,42,3,2,Laboratory Technician,3,Married,5409,16352,1,Y,No,14,3,3,80,0,5,5,3,4,0,1,4
38,Yes,Non-Travel,822,Research & Development,12,4,Other,1,8,1,Male,73,4,2,Healthcare Representative,1,Married,5334,19774,3,Y,Yes,15,3,4,80,1,27,2,3,23,3,1,3
29,No,Travel_Rarely,1215,Research & Development,12,5,Life Sciences,1,9,4,Male,85,1,4,Manager,4,Single,10074,22343,2,Y,No,20,3,4,80,3,11,2,4,3,0,0,0
35,Yes,Travel_Rarely,520,Research & Development,1,4,Technical Degree,1,10,4,Male,98,3,4,Research Director,3,Married,9682,7744,4,Y,Yes,11,3,1,80,2,12,4,2,6,6,6,5
46,Yes,Travel_Rarely,632,Human Resources,7,4,Human Resources,1,11,4,Female,76,3,1,Human Resources,3,Divorced,2536,9137,6,Y,Yes,13,3,4,80,0,17,3,4,9,3,2,4
35,Yes,Travel_Frequently,116,Sales,3,2,Marketing,1,12,2,Male,68,2,1,Sales Representative,3,Married,2726,15082,5,Y,No,17,3,3,80,3,35,3,1,29,2,2,4
50,Yes,Travel_Frequently,552,Sales,1,3,Life Sciences,1,13,4,Male,34,2,2,Sales Executive,1,Divorced,4806,3236,3,Y,No,13,3,1,80,0,10,3,3,1,1,0,1
31,Yes,Travel_Rarely,1357,Human Resources,4,1,Life Sciences,1,14,1,Female,53,4,1,Human Resources,1,Single,2534,8132,6,Y,No,13,3,2,80,0,1,4,4,1,1,1,1
40,Yes,Travel_Rarely,1045,Sales,1,4,Medical,1,15,4,Male,39,2,5,Manager,1,Single,12919,4454,4,Y,No,11,3,3,80,0,9,3,2,6,5,0,0
33,Yes,Travel_Rarely,1309,Research & Development,2,3,Life Sciences,1,16,4,Male,94,4,1,Laboratory Technician,2,Divorced,3286,6656,3,Y,No,14,3,3,80,0,7,4,3,4,4,0,4
24,Yes,Travel_Frequently,124,Sales,29,1,Medical,1,17,4,Female,59,4,1,Sales Representative,3,Married,2710,4076,3,Y,No,12,4,4,80,1,16,3,4,7,1,1,4
39,Yes,Travel_Rarely,1348,Sales,1,3,Marketing,1,18,3,Female,95,4,2,Sales Representative,4,Divorced,4766,11697,2,Y,Yes,22,4,1,80,1,8,3,3,2,2,0,2
50,No,Travel_Rarely,1231,Research & Development,15,3,Medical,1,19,3,Female,60,3,2,Research Scientist,4,Divorced,4749,23722,2,Y,No,16,3,2,80,1,0,1,4,0,0,0,0
33,Yes,Travel_Rarely,679,Research & Development,2,4,Medical,1,20,2,Male,66,3,2,Healthcare Representative,4,Married,5324,19818,3,Y,Yes,21,3,3,80,0,12,4,3,5,0,1,5
20,Yes,Travel_Frequently,1210,Research & Development,6,2,Other,1,21,3,Male,98,4,1,Laboratory Technician,1,Single,2865,21211,4,Y,No,20,3,3,80,1,7,4,3,4,4,0,2
34,No,Travel_Rarely,1448,Research & Development,7,1,Life Sciences,1,22,4,Female,63,1,5,Research Director,3,Married,12192,17400,2,Y,No,13,3,3,80,1,5,6,3,5,5,0,3
33,Yes,Travel_Rarely,1129,Sales,2,1,Marketing,1,23,1,Male,64,3,1,Sales Representative,4,Married,2243,11357,2,Y,No,14,3,1,80,1,8,3,4,0,0,0,0
