Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Attrition
49,-2.6518442324660216,73,1,0.25063996269653566,1.5054269784073353,-1.3909524992133206,-0.7568391631792072,0.7065283240469435,1064,-0.9490693163326199,4.168705520134622,-0.27179614083974357,-2.5624274965309057,3.1163632906027985,2.55070463333947,-0.031848818963008174,-0.7721781204335115,-3.1483210763474467,-4.264736939178824,0
29,-4.017038381577477,73,2,-0.9226537368928664,-0.07215934683393631,0.1469468687061186,-1.0489533426619804,-0.008562997688580043,7275,0.948126752159883,0.43275617510579023,-0.4669014703287534,-3.339537541456511,1.0000794465933847,-3.4120078324848073,2.0257480157326615,0.861365864095552,-2.431057125503359,-0.40933830279483063,0
27,0.37111390716187354,43,2,1.3374302420456383,-0.5575769981701648,0.09709390612470692,-1.8774258543141138,-1.3416022085311334,14626,1.2357872407656363,0.027645083716664853,1.6922245599117183,-0.8015629999203261,-1.8349215981002516,1.9828444554019358,-1.1974189670623498,1.9063285691938794,-0.38230836408539065,0.6363197001501504,1
71,-0.16998791449800077,27,1,1.5842325252087668,-0.027229007152770046,-2.3854738625177085,0.16270523451996044,-2.31737522825384,14436,-0.8120780625098498,0.4660257740896442,2.144922900271951,3.4794551092869246,-1.3797357170644167,0.9785409934988154,-1.29199393556274,-1.2289081410535907,-4.46426129181543,3.9064190439223445,1
60,1.2101273048584194,37,4,1.7713994165722147,-1.6930174201140173,-0.7377943186265608,-1.6794587322064989,0.9138535482158736,11038,0.9046221676586078,0.2418607698314701,-2.4668812388601467,0.8519650842810607,0.6794539505069053,4.154546484408631,-2.1532238173816562,-1.2325204478491443,-3.366053214793508,3.3531397400020118,1
25,-0.3293991392897151,6,1,-0.7234743473334571,-0.609384476200317,1.1255270406246414,1.6393609197570962,-4.881918328795767,5396,-0.7046143839378335,0.2532227953835535,1.6641787326807824,2.847764598601406,-0.21802622783565662,-4.333917617892657,0.9264468993820625,0.5491790069332947,-4.8873497843515326,3.134370672972678,0
39,-1.0544331273797567,8,3,-1.5069855220730721,0.48340007505190896,-0.2785396260329033,2.396912248916915,1.484646177744412,10451,0.7489188869578018,0.8976778363070609,0.7431958499258161,2.3919599779432374,-6.926944066690634,-3.3749657818331724,3.617969544649597,0.13095693099107708,6.328239201351696,0.27456978157465994,1
53,0.5679337414190564,67,4,-0.23176861079112765,-0.8987433606303655,-0.4268158583815914,0.5940721604485746,-1.21524968434453,5475,0.4085421831785231,-0.010212529816916893,2.0057889996325375,0.25913565307398995,-3.1324667221427993,1.478840682049701,-3.9744380309630354,-1.1307308228959327,0.09210292753616585,3.093019266346234,0
86,0.9635115011487612,74,3,-0.25876321249217993,-0.7621478416549284,-1.0933385983536372,4.528856663794176,-2.3640861960435466,7773,1.2355703137853922,-1.6031308606112622,-1.1747993650539095,6.8760371427542255,1.6355937683156307,-4.601253441664271,-2.2096745989675846,-2.3652118550135635,-0.6038815797299254,0.41905468901478127,0
43,-2.240679726474262,54,2,-1.1223060525475195,0.8404862115604006,-1.8847672477370587,-2.68800322350146,0.009224035234709937,9805,-0.329798206941986,3.138494004240093,-0.15118654165401657,-3.8520848853270957,1.2657791122806843,1.184312487292295,0.6870587315986187,0.8217061836509975,-3.7162002498459494,-1.4852850316772115,0
22,0.949432198902902,6,3,1.0983453194991886,1.7125221460381377,1.3664676092820132,1.597260162924441,0.4758601461994343,1608,2.024950401109603,-1.3023343891094596,-0.011661618812810914,1.3020911772711903,0.9512440423990829,0.421772117300584,-0.5212171223181818,-1.8338380169611224,1.5806460851368076,-0.407056275301545,0
45,1.168426991563048,31,1,1.9414992016800485,0.09685698045274697,-0.9558314753611699,1.806794415208751,0.6744634417146917,1795,-0.5632165308476368,0.9383980564322176,-2.3817888854937763,3.44073891382282,-0.4524853061627102,2.123514083005399,-1.0967439139196482,-0.5276159980756673,0.3891719443671706,0.6421221072219101,1
